Date,Open,High,Low,Close,Volume
07/31/2019,1.28,1.285,1.26,1.27,
07/30/2019,1.255,1.295,1.245,1.295,
07/29/2019,1.22,1.255,1.22,1.255,
07/26/2019,1.26,1.26,1.23,1.23,
07/25/2019,1.255,1.27,1.25,1.25,
07/24/2019,1.285,1.285,1.25,1.255,
07/23/2019,1.285,1.295,1.265,1.275,
07/22/2019,1.3,1.305,1.28,1.285,
07/19/2019,1.31,1.315,1.285,1.295,
07/18/2019,1.275,1.335,1.27,1.3,
07/17/2019,1.29,1.295,1.265,1.28,
07/16/2019,1.28,1.305,1.27,1.285,
07/15/2019,1.295,1.295,1.265,1.275,
07/12/2019,1.335,1.34,1.275,1.28,
07/11/2019,1.36,1.365,1.33,1.335,
07/10/2019,1.335,1.36,1.33,1.345,
07/09/2019,1.36,1.385,1.32,1.335,
07/08/2019,1.415,1.415,1.375,1.38,
07/05/2019,1.435,1.47,1.415,1.415,
07/04/2019,1.4,1.435,1.38,1.42,
07/03/2019,1.41,1.415,1.36,1.36,
07/02/2019,1.44,1.445,1.38,1.42,
07/01/2019,1.38,1.455,1.35,1.44,
06/28/2019,1.385,1.39,1.345,1.36,
06/27/2019,1.37,1.4,1.34,1.385,
06/26/2019,1.35,1.375,1.33,1.36,
06/25/2019,1.245,1.335,1.23,1.33,
06/24/2019,1.24,1.25,1.225,1.245,
06/21/2019,1.275,1.28,1.225,1.225,
06/20/2019,1.28,1.29,1.265,1.265,
06/19/2019,1.255,1.28,1.25,1.275,
06/18/2019,1.225,1.25,1.22,1.245,
06/17/2019,1.245,1.245,1.215,1.23,
06/14/2019,1.29,1.295,1.23,1.235,
06/13/2019,1.275,1.28,1.265,1.275,
06/12/2019,1.265,1.295,1.265,1.285,
06/11/2019,1.295,1.295,1.265,1.28,
06/10/2019,1.305,1.315,1.275,1.285,
05/31/2019,1.295,1.295,1.26,1.295,
05/29/2019,1.27,1.305,1.265,1.27,
05/28/2019,1.265,1.285,1.26,1.27,
05/27/2019,1.265,1.28,1.265,1.265,
05/24/2019,1.28,1.29,1.26,1.26,
05/23/2019,1.25,1.29,1.24,1.28,
05/22/2019,1.235,1.25,1.21,1.235,
05/21/2019,1.19,1.255,1.185,1.235,
05/20/2019,1.185,1.215,1.17,1.175,
05/17/2019,1.18,1.2,1.16,1.175,
05/16/2019,1.23,1.235,1.16,1.16,
05/15/2019,1.245,1.26,1.215,1.235,
05/14/2019,1.25,1.25,1.22,1.235,
05/13/2019,1.285,1.285,1.25,1.25,
05/10/2019,1.25,1.275,1.25,1.265,
05/09/2019,1.29,1.305,1.275,1.28,
05/08/2019,1.31,1.31,1.295,1.295,
05/07/2019,1.32,1.33,1.31,1.31,
05/06/2019,1.3,1.325,1.29,1.315,
05/03/2019,1.345,1.35,1.31,1.335,
05/02/2019,1.33,1.36,1.315,1.345,
04/30/2019,1.315,1.34,1.3,1.305,
04/29/2019,1.29,1.315,1.28,1.315,
04/26/2019,1.29,1.295,1.28,1.29,
04/25/2019,1.305,1.305,1.285,1.29,
04/24/2019,1.31,1.315,1.3,1.305,
04/23/2019,1.275,1.31,1.275,1.305,
04/22/2019,1.295,1.295,1.26,1.27,
04/18/2019,1.33,1.33,1.29,1.295,
04/16/2019,1.285,1.315,1.28,1.305,
04/15/2019,1.31,1.315,1.28,1.285,
04/12/2019,1.305,1.315,1.295,1.3,
04/11/2019,1.32,1.325,1.29,1.3,
04/10/2019,1.305,1.315,1.275,1.315,
04/09/2019,1.28,1.32,1.275,1.295,
04/08/2019,1.275,1.285,1.25,1.265,
04/05/2019,1.295,1.295,1.255,1.26,
04/04/2019,1.315,1.32,1.265,1.28,
04/02/2019,1.325,1.345,1.31,1.325,
04/01/2019,1.325,1.36,1.32,1.34,
03/29/2019,1.36,1.365,1.34,1.345,
03/28/2019,1.35,1.355,1.33,1.35,
03/27/2019,1.38,1.38,1.335,1.345,
03/26/2019,1.37,1.385,1.35,1.365,
03/25/2019,1.4,1.405,1.335,1.365,
03/22/2019,1.435,1.435,1.4,1.425,
03/21/2019,1.45,1.45,1.41,1.425,
03/20/2019,1.44,1.44,1.415,1.43,
03/19/2019,1.445,1.45,1.41,1.435,
03/18/2019,1.42,1.435,1.405,1.43,
03/15/2019,1.46,1.46,1.415,1.42,
03/14/2019,1.45,1.48,1.43,1.455,
03/13/2019,1.405,1.45,1.39,1.44,
03/12/2019,1.46,1.46,1.38,1.385,
03/11/2019,1.385,1.47,1.365,1.44,
03/08/2019,1.37,1.395,1.365,1.39,
03/06/2019,1.41,1.415,1.36,1.36,
03/05/2019,1.4,1.455,1.385,1.4,
03/04/2019,1.33,1.42,1.325,1.41,
03/01/2019,1.32,1.345,1.31,1.31,
02/28/2019,1.38,1.39,1.305,1.31,
02/27/2019,1.36,1.395,1.36,1.375,
02/26/2019,1.405,1.41,1.35,1.35,
02/25/2019,1.43,1.43,1.38,1.405,
02/22/2019,1.42,1.46,1.41,1.41,
02/21/2019,1.345,1.42,1.33,1.415,
