Date,Close,BVS
2018-03-06,2330.0,20.0
2018-03-07,2160.0,20.0
2018-03-08,2190.0,20.0
2018-03-09,2170.0,20.0
2018-03-12,2220.0,20.0
2018-03-13,2170.0,20.0
2018-03-14,2070.0,20.0
2018-03-15,2050.0,20.0
2018-03-16,2040.0,20.0
2018-03-19,2040.0,20.0
2018-03-20,2070.0,20.0
2018-03-21,2040.0,20.0
2018-03-22,2020.0,20.0
2018-03-23,1995.0,20.0
2018-03-26,2030.0,20.0
2018-03-27,2040.0,20.0
2018-03-28,2040.0,20.0
2018-03-29,2130.0,20.0
2018-04-02,2130.0,20.0
2018-04-03,2120.0,20.0
2018-04-04,2040.0,20.0
2018-04-05,2020.0,20.0
2018-04-06,2030.0,20.0
2018-04-09,2070.0,20.0
2018-04-10,2110.0,20.0
2018-04-11,2140.0,20.0
2018-04-12,2110.0,20.0
2018-04-13,2130.0,20.0
2018-04-16,2100.0,20.0
2018-04-17,2130.0,20.0
2018-04-18,2100.0,20.0
2018-04-19,2180.0,20.0
2018-04-20,2230.0,20.0
2018-04-23,2260.0,20.0
2018-04-24,2200.0,20.0
2018-04-25,2120.0,20.0
2018-04-26,1995.0,20.0
2018-04-27,1830.0,20.0
2018-04-30,1835.0,20.0
2018-05-02,1775.0,20.0
2018-05-03,1680.0,20.0
2018-05-04,1640.0,20.0
2018-05-07,1710.0,20.0
2018-05-08,1625.0,20.0
2018-05-09,1700.0,20.0
2018-05-11,1715.0,20.0
2018-05-14,1675.0,20.0
2018-05-15,1715.0,20.0
2018-05-16,1800.0,20.0
2018-05-17,1880.0,20.0
2018-05-18,1905.0,20.0
2018-05-21,1950.0,20.0
2018-05-22,1930.0,20.0
2018-05-23,1825.0,20.0
2018-05-24,1835.0,20.0
2018-05-25,1830.0,20.0
2018-05-28,1820.0,20.0
2018-05-30,1830.0,20.0
2018-05-31,1885.0,20.0
2018-06-04,1970.0,20.0
2018-06-05,2030.0,20.0
2018-06-06,1985.0,20.0
2018-06-07,1990.0,20.0
2018-06-08,1935.0,20.0
2018-06-20,2000.0,20.0
2018-06-21,2010.0,20.0
2018-06-22,1930.0,20.0
2018-06-25,1870.0,20.0
2018-06-26,1755.0,20.0
2018-06-27,1705.0,20.0
2018-06-28,1665.0,20.0
2018-06-29,1790.0,20.0
2018-07-02,1745.0,20.0
2018-07-03,1720.0,20.0
2018-07-04,1770.0,20.0
2018-07-05,1825.0,20.0
2018-07-06,1785.0,20.0
2018-07-09,1835.0,20.0
2018-07-10,1865.0,20.0
2018-07-11,1900.0,20.0
2018-07-12,1870.0,20.0
2018-07-13,1860.0,20.0
2018-07-16,1800.0,20.0
2018-07-17,1760.0,20.0
2018-07-18,1865.0,20.0
2018-07-19,1870.0,20.0
2018-07-20,1825.0,20.0
2018-07-23,1800.0,20.0
2018-07-24,1800.0,20.0
2018-07-25,1880.0,20.0
2018-07-26,1850.0,20.0
2018-07-27,1965.0,20.0
2018-07-30,2090.0,20.0
2018-07-31,1905.0,20.0
2018-08-01,1980.0,20.0
2018-08-02,1935.0,20.0
2018-08-03,1940.0,20.0
2018-08-06,1960.0,20.0
2018-08-07,1980.0,20.0
2018-08-08,1990.0,20.0
2018-08-09,1935.0,20.0
2018-08-10,1910.0,20.0
2018-08-13,1830.0,20.0
2018-08-14,1800.0,20.0
2018-08-15,1855.0,20.0
2018-08-16,1780.0,20.0
2018-08-20,1835.0,20.0
2018-08-21,1880.0,20.0
2018-08-23,1940.0,20.0
2018-08-24,1910.0,20.0
2018-08-27,1895.0,20.0
2018-08-28,1910.0,20.0
2018-08-29,1910.0,20.0
2018-08-30,1895.0,20.0
2018-08-31,1865.0,20.0
2018-09-03,1855.0,20.0
2018-09-04,1805.0,20.0
2018-09-05,1700.0,20.0
2018-09-06,1725.0,20.0
2018-09-07,1730.0,20.0
2018-09-10,1735.0,20.0
2018-09-12,1760.0,20.0
2018-09-13,1735.0,20.0
2018-09-14,1740.0,20.0
2018-09-17,1715.0,20.0
2018-09-18,1750.0,20.0
2018-09-19,1740.0,20.0
2018-09-20,1805.0,20.0
2018-09-21,1880.0,20.0
2018-09-24,1820.0,20.0
2018-09-25,1815.0,20.0
2018-09-26,1815.0,20.0
2018-09-27,1825.0,20.0
2018-09-28,1835.0,20.0
2018-10-01,1840.0,20.0
2018-10-02,1845.0,20.0
2018-10-03,1865.0,20.0
2018-10-04,1825.0,20.0
2018-10-05,1810.0,20.0
2018-10-08,1750.0,20.0
2018-10-09,1730.0,20.0
2018-10-10,1780.0,20.0
2018-10-11,1720.0,20.0
2018-10-12,1710.0,20.0
2018-10-15,1675.0,20.0
2018-10-16,1750.0,20.0
2018-10-17,1760.0,20.0
2018-10-18,1730.0,20.0
2018-10-19,1700.0,20.0
2018-10-22,1730.0,20.0
2018-10-23,1700.0,20.0
2018-10-24,1670.0,20.0
2018-10-25,1650.0,20.0
2018-10-26,1725.0,20.0
2018-10-29,1665.0,20.0
2018-10-30,1650.0,20.0
2018-10-31,1650.0,20.0
2018-11-01,1645.0,20.0
2018-11-02,1585.0,20.0
2018-11-05,1575.0,20.0
2018-11-06,1630.0,20.0
2018-11-07,1595.0,20.0
2018-11-08,1610.0,20.0
2018-11-09,1580.0,20.0
2018-11-12,1510.0,20.0
2018-11-13,1515.0,20.0
2018-11-14,1565.0,20.0
2018-11-15,1555.0,20.0
2018-11-16,1545.0,20.0
2018-11-19,1485.0,20.0
2018-11-21,1310.0,20.0
2018-11-22,1285.0,20.0
2018-11-23,1295.0,20.0
2018-11-26,1275.0,20.0
2018-11-27,1220.0,20.0
2018-11-28,1255.0,20.0
2018-11-29,1280.0,20.0
2018-11-30,1285.0,20.0
2018-12-03,1305.0,20.0
2018-12-04,1300.0,20.0
2018-12-05,1285.0,20.0
2018-12-06,1295.0,20.0
2018-12-07,1300.0,20.0
2018-12-10,1310.0,20.0
2018-12-11,1285.0,20.0
2018-12-12,1255.0,20.0
2018-12-13,1280.0,20.0
2018-12-14,1285.0,20.0
2018-12-17,1280.0,20.0
2018-12-18,1240.0,20.0
2018-12-19,1245.0,20.0
2018-12-20,1255.0,20.0
2018-12-21,1250.0,20.0
2018-12-26,1220.0,20.0
2018-12-27,1240.0,20.0
2018-12-28,1215.0,20.0
2019-01-02,1225.0,20.0
2019-01-03,1230.0,20.0
2019-01-04,1390.0,20.0
2019-01-07,1390.0,20.0
2019-01-08,1410.0,20.0
2019-01-09,1395.0,20.0
2019-01-10,1405.0,20.0
2019-01-11,1405.0,20.0
2019-01-14,1410.0,20.0
2019-01-15,1460.0,20.0
2019-01-16,1460.0,20.0
2019-01-17,1460.0,20.0
2019-01-18,1485.0,20.0
2019-01-21,1470.0,20.0
2019-01-22,1410.0,20.0
2019-01-23,1380.0,20.0
2019-01-24,1380.0,20.0
2019-01-25,1395.0,20.0
2019-01-28,1390.0,20.0
2019-01-29,1340.0,20.0
2019-01-30,1350.0,20.0
2019-01-31,1390.0,20.0
2019-02-01,1375.0,20.0
2019-02-04,1360.0,20.0
2019-02-06,1365.0,20.0
2019-02-07,1345.0,20.0
2019-02-08,1305.0,20.0
2019-02-11,1260.0,20.0
2019-02-12,1275.0,20.0
2019-02-13,1260.0,20.0
2019-02-14,1240.0,20.0
2019-02-15,1220.0,20.0
2019-02-18,1245.0,20.0
2019-02-19,1295.0,20.0
2019-02-20,1345.0,20.0
2019-02-21,1415.0,20.0
2019-02-22,1410.0,20.0
2019-02-25,1405.0,20.0
2019-02-26,1350.0,20.0
2019-02-27,1375.0,20.0
2019-02-28,1310.0,20.0
2019-03-01,1310.0,20.0
2019-03-04,1410.0,20.0
2019-03-05,1400.0,20.0
2019-03-06,1360.0,20.0
2019-03-08,1390.0,20.0
2019-03-11,1440.0,20.0
2019-03-12,1385.0,20.0
2019-03-13,1440.0,20.0
2019-03-14,1455.0,20.0
2019-03-15,1420.0,20.0
2019-03-18,1430.0,20.0
2019-03-19,1435.0,20.0
2019-03-20,1430.0,20.0
2019-03-21,1425.0,20.0
2019-03-22,1425.0,20.0
2019-03-25,1365.0,20.0
2019-03-26,1365.0,20.0
2019-03-27,1345.0,20.0
2019-03-28,1350.0,20.0
2019-03-29,1345.0,20.0
2019-04-01,1340.0,20.0
2019-04-02,1325.0,20.0
2019-04-04,1280.0,20.0
2019-04-05,1260.0,20.0
2019-04-08,1265.0,20.0
2019-04-09,1295.0,20.0
2019-04-10,1315.0,20.0
2019-04-11,1300.0,20.0
2019-04-12,1300.0,20.0
2019-04-15,1285.0,20.0
2019-04-16,1305.0,20.0
2019-04-18,1295.0,20.0
2019-04-22,1270.0,20.0
2019-04-23,1305.0,20.0
